title,recipe_link,img_link,ingredients,yield,nutrients,meal_type,subregion,region,total_calories,total_protein,total_fat,total_carb
Puff Pastry Salmon,https://www.allrecipes.com/recipe/70923/puff-pastry-salmon/,https://www.allrecipes.com/thmb/WnDwQnta3HXM-oL6prBsq4_O38U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1103975-84949e5622d4428385c78fa9b80a33cb.jpg,"['2 (12 ounce) skinless, boneless salmon fillets', 'seasoned salt to taste', '0.5 teaspoon garlic powder', '1 teaspoon onion powder', '1 (17.25 ounce) package frozen puff pastry, thawed', '0.33333334326744 cup pesto', '1 (6 ounce) package spinach leaves']",6 servings,"{'calories': '685 kcal', 'carbohydrateContent': '39 g', 'cholesterolContent': '55 mg', 'fiberContent': '2 g', 'proteinContent': '34 g', 'saturatedFatContent': '11 g', 'sodiumContent': '529 mg', 'sugarContent': '1 g', 'fatContent': '44 g', 'unsaturatedFatContent': '0 g'}",main,jewish,usa,4767.96,203.33,325.66,252.19
Puff Pastry Shells,https://www.allrecipes.com/recipe/240524/puff-pastry-shells/,https://www.allrecipes.com/thmb/LTCZwhIk4D0emA5sqpke5bHp4p0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2130869-puff-pastry-shells-Buckwheat-Queen-1x1-1-4b1ac792ea7f4175b9c727eb46f47a33.jpg,"['1 egg, beaten', '2 tablespoons water', '4 sheets frozen puff pastry']",4 servings,"{'calories': '1346 kcal', 'carbohydrateContent': '109 g', 'cholesterolContent': '47 mg', 'fiberContent': '4 g', 'proteinContent': '19 g', 'saturatedFatContent': '24 g', 'sodiumContent': '618 mg', 'sugarContent': '2 g', 'fatContent': '93 g', 'unsaturatedFatContent': '0 g'}",appetizer,french,european,704.27,14.670000000000002,48.419999999999995,52.18
Pull-Apart Pumpkin Brioche,https://www.allrecipes.com/recipe/276993/pull-apart-pumpkin-brioche/,https://www.allrecipes.com/thmb/Ycs2wbvYq3DYmQgec5v4ogF6YbE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7224262-79f9e4360ff34ef4a421e9e280f55c7b.jpg,"['10 tablespoons unsalted butter, at room temperature', '2.75 cups all-purpose flour, divided', '0.5 cup shredded Cheddar cheese', '3 large eggs', '0.25 cup water', '0.25 cup nonfat dry milk', '3 tablespoons pumpkin puree', '3 tablespoons white sugar', '1 tablespoon instant yeast', '1.25 teaspoons salt', 'kitchen string', '1 egg white', '1 tablespoon milk', '1 cinnamon stick']",8 servings,"{'calories': '375 kcal', 'carbohydrateContent': '40 g', 'cholesterolContent': '116 mg', 'fiberContent': '2 g', 'proteinContent': '11 g', 'saturatedFatContent': '11 g', 'sodiumContent': '471 mg', 'sugarContent': '6 g', 'fatContent': '19 g', 'unsaturatedFatContent': '0 g'}",bread,french,european,3000.4299999999994,84.03999999999998,152.98000000000002,322.5799999999999
Pumpernickel Bread II,https://www.allrecipes.com/recipe/7020/pumpernickel-bread-ii/,https://www.allrecipes.com/thmb/ovm2RCYQm06S2xuT9tSCydzlZVs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8742736-pumpernickel-bread-ii-Veronica-Welch-4x3-1-6c7eb21b2b934b10a512334727a70c81.jpg,"['2 cups warm milk', '2 tablespoons vegetable oil', '4 tablespoons molasses', '3.25 cups bread flour', '1.3333300352097 cups rye flour', '0.5 cup cornmeal', '1.3333300352097 teaspoons salt', '2.6666700839996 teaspoons active dry yeast', '4 tablespoons unsweetened cocoa powder', '2.6666700839996 tablespoons brown sugar']",15 servings,"{'calories': '218 kcal', 'carbohydrateContent': '41 g', 'cholesterolContent': '3 mg', 'fiberContent': '3 g', 'proteinContent': '6 g', 'saturatedFatContent': '1 g', 'sodiumContent': '226 mg', 'sugarContent': '7 g', 'fatContent': '4 g', 'servingSize': '9 -1/2x5 inch loaf (2 pounds)', 'unsaturatedFatContent': '0 g'}",,state_ny,usa,3258.7099999999996,97.51,51.34,603.87
Pumpkin Apple Streusel Muffins,https://www.allrecipes.com/recipe/20237/pumpkin-apple-streusel-muffins/,https://www.allrecipes.com/thmb/pE6zNfkwI0xowOgpGgtyv0pUasg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/515197-pumpkin-apple-streusel-muffins-Alberta-Rose-4x3-1-3145f467f2014d54b7e4ff4d1c049ca8.jpg,"['2.5 cups all-purpose flour', '2 cups white sugar', '1 tablespoon pumpkin pie spice', '1 teaspoon baking soda', '0.5 teaspoon salt', '2 eggs, lightly beaten', '1 cup canned pumpkin puree', '0.5 cup vegetable oil', '2 cups peeled, cored and chopped apple', '2 tablespoons all-purpose flour', '0.25 cup white sugar', '0.5 teaspoon ground cinnamon', '4 teaspoons butter']",18 servings,"{'calories': '249 kcal', 'carbohydrateContent': '43 g', 'cholesterolContent': '23 mg', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '1 g', 'sodiumContent': '182 mg', 'sugarContent': '27 g', 'fatContent': '8 g', 'unsaturatedFatContent': '0 g'}",bread,jewish,usa,4404.619999999999,50.28,138.85000000000002,757.93
Pumpkin Bread IV,https://www.allrecipes.com/recipe/6862/pumpkin-bread-iv/,https://www.allrecipes.com/thmb/8cAjduRBNxj5NulIuvDm1hBHII8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6862-pumpkin-bread-iv-natalietitanof-2c116208523246ccbe125d38e0eba086.jpg,"['3 cups canned pumpkin puree', '1.5 cups vegetable oil', '4 cups white sugar', '6 eggs', '4.75 cups all-purpose flour', '1.5 teaspoons baking powder', '1.5 teaspoons baking soda', '1.5 teaspoons salt', '1.5 teaspoons ground cinnamon', '1.5 teaspoons ground nutmeg', '1.5 teaspoons ground cloves']",36 servings,"{'calories': '247 kcal', 'carbohydrateContent': '37 g', 'cholesterolContent': '31 mg', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '2 g', 'sodiumContent': '231 mg', 'sugarContent': '23 g', 'fatContent': '10 g', 'unsaturatedFatContent': '0 g'}",bread,jewish,usa,8866.74,107.64999999999999,365.11000000000007,1323.38
Pumpkin Brioche,https://www.allrecipes.com/recipe/212757/pumpkin-brioche/,https://www.allrecipes.com/thmb/lPYKLf5OzUd-J8bwMDXJqdaHKfU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/306984-cdfba5c9936e42759f6fec1f1a06e5c8.jpg,"['1 (.25 ounce) package active dry yeast', '1 pinch white sugar', '3 tablespoons warm water', '1 cup pumpkin puree', '3.75 cups unbleached all-purpose flour, divided', '0.5 cup packed light brown sugar', '1 teaspoon salt', '1 teaspoon ground cinnamon', '0.5 teaspoon ground nutmeg', '0.5 teaspoon ground allspice', '4 eggs', '1 cup butter, cut into pieces', '1 egg yolk', '1 tablespoon milk']",10 servings,"{'calories': '422 kcal', 'carbohydrateContent': '50 g', 'cholesterolContent': '144 mg', 'fiberContent': '2 g', 'proteinContent': '8 g', 'saturatedFatContent': '13 g', 'sodiumContent': '456 mg', 'sugarContent': '12 g', 'fatContent': '22 g', 'unsaturatedFatContent': '0 g'}","appetizer,bread",french,european,4243.37,96.04,216.45000000000002,488.18
Pumpkin Cake I,https://www.allrecipes.com/recipe/7860/pumpkin-cake-i/,https://www.allrecipes.com/thmb/hXDnMeutS3GD2V_xhLmS10risg0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5897345-24e2db3d337b43f79c34683582aef083.jpg,"['1 cup vegetable oil', '3 eggs', '1 (15 ounce) can pumpkin puree', '1 teaspoon vanilla extract', '2.5 cups white sugar', '2.5 cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon ground nutmeg', '1 teaspoon ground allspice', '1 teaspoon ground cinnamon', '1 teaspoon ground cloves', '0.25 teaspoon salt', '1 cup chopped walnuts']",12 servings,"{'calories': '517 kcal', 'carbohydrateContent': '66 g', 'cholesterolContent': '47 mg', 'fiberContent': '3 g', 'proteinContent': '6 g', 'saturatedFatContent': '4 g', 'sodiumContent': '258 mg', 'sugarContent': '43 g', 'fatContent': '27 g', 'unsaturatedFatContent': '0 g'}",dessert,jewish,usa,6185.160000000001,74.56,316.07,796.87
Pumpkin Cannoli,https://www.allrecipes.com/recipe/245169/pumpkin-cannoli/,https://www.allrecipes.com/thmb/LzuY0Fp2OIN_roUjhkk9mImoGG0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2773857-b5cb3b692deb4f4eaec34354f219888f.jpg,"[""1 cup confectioners' sugar"", '0.75 cup canned pumpkin', '4 ounces mascarpone cheese', '0.5 cup ricotta cheese', '0.25 cup instant vanilla pudding mix', '1 teaspoon pumpkin pie spice', '0.5 cup heavy whipping cream', '12 large cannoli shells', '1 tablespoon sprinkles, or as desired', ""1 teaspoon confectioners' sugar for dusting""]",12 servings,"{'calories': '149 kcal', 'carbohydrateContent': '18 g', 'cholesterolContent': '26 mg', 'fiberContent': '1 g', 'proteinContent': '1 g', 'saturatedFatContent': '5 g', 'sodiumContent': '115 mg', 'sugarContent': '15 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}",dessert,italian,european,4624.899999999999,102.7,290.87,404.16999999999996
Pumpkin Chili,https://www.allrecipes.com/recipe/25722/pumpkin-chili/,https://www.allrecipes.com/thmb/3FW5jW8iw-8ckEZ5rw3W5is669s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7165587-a6ac2542605d4e7685d16f3a412c27ac.jpg,"['2 pounds ground beef', '1 large onion, diced', '1 green bell pepper, diced', '2 (15 ounce) cans kidney beans, drained', '1 (46 fluid ounce) can tomato juice', '1 (28 ounce) can peeled and diced tomatoes with juice', '0.5 cup canned pumpkin puree', '1 tablespoon pumpkin pie spice', '1 tablespoon chili powder', '0.25 cup white sugar']",8 servings,"{'calories': '409 kcal', 'carbohydrateContent': '38 g', 'cholesterolContent': '69 mg', 'fiberContent': '9 g', 'proteinContent': '28 g', 'saturatedFatContent': '6 g', 'sodiumContent': '924 mg', 'sugarContent': '16 g', 'fatContent': '16 g', 'unsaturatedFatContent': '0 g'}",soups_and_stews,jewish,usa,4378.75,336.78000000000003,175.08,379.0
Pumpkin Chocolate Chip Muffins,https://www.allrecipes.com/recipe/7958/pumpkin-chocolate-chip-muffins/,https://www.allrecipes.com/thmb/HC3eMGpZf1-eMNgOpLxubgUyqbM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7958-pumpkin-chocolate-chip-muffins-1x1-65-2b34df9c8ac14d0da89271d54a0fe92b.jpg,"['0.75 cup white sugar', '0.25 cup vegetable oil', '2 large eggs', '0.75 cup canned pumpkin', '0.25 cup water', '1.5 cups all-purpose flour', '0.75 teaspoon baking powder', '0.5 teaspoon baking soda', '0.5 teaspoon ground cinnamon', '0.25 teaspoon ground nutmeg', '0.25 teaspoon ground cloves', '0.25 teaspoon salt', '0.5 cup semisweet chocolate chips']",12 servings,"{'calories': '197 kcal', 'carbohydrateContent': '30 g', 'cholesterolContent': '31 mg', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '2 g', 'sodiumContent': '181 mg', 'sugarContent': '17 g', 'fatContent': '8 g', 'unsaturatedFatContent': '0 g'}",bread,jewish,usa,2378.1400000000003,37.72,92.80999999999997,366.98
Pumpkin Conchas,https://www.allrecipes.com/recipe/8505349/pumpkin-conchas/,https://www.allrecipes.com/thmb/sAvzC44ZdNMVRPr5ncaAszX4mEI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Pumpkin-Conchas-1x1-1-2000-16956b7058ed4cb7861ceef571e4a502.jpg,"['2.25 cups all-purpose flour', '0.5 cup pumpkin puree', '0.25 cup warm milk', '1 large egg yolk', '2 tablespoons butter, melted', '2 tablespoons white sugar', '1 (.25 ounce) package active dry yeast', '1 teaspoon kosher salt', '0.125 teaspoon vanilla extract', '0.5 cup powdered sugar', '0.5 cup all-purpose flour', '1 pinch kosher salt', '0.25 teaspoon ground cinnamon', '0.125 teaspoon ground allspice', '1 pinch ground nutmeg', '0.125 teaspoon vanilla extract', '0.25 cup butter, at room temperature', 'orange food coloring']",6 servings,"{'calories': '393 kcal', 'carbohydrateContent': '61 g', 'cholesterolContent': '66 mg', 'fiberContent': '3 g', 'proteinContent': '8 g', 'saturatedFatContent': '8 g', 'sodiumContent': '445 mg', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}",,southern,usa,2555.9900000000002,64.27,85.61999999999999,389.30999999999995
Pumpkin Custard Pie I,https://www.allrecipes.com/recipe/15239/pumpkin-custard-pie-i/,https://www.allrecipes.com/thmb/86f4oZ17Vp1WkfjjkSWv5RlLVAU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7370673-d6b133b36ff04b92b7b2595d20f1b5ab.jpg,"['1 (9 inch) pie shell', '1 cup pumpkin puree', '3 eggs', '1 tablespoon all-purpose flour', '0.25 cup packed light brown sugar', '0.5 cup white sugar', '0.5 teaspoon salt', '0.33331999182701 teaspoon ground nutmeg', '0.5 teaspoon ground cinnamon', '2 cups milk']",8 servings,"{'calories': '228 kcal', 'carbohydrateContent': '34 g', 'cholesterolContent': '75 mg', 'fiberContent': '1 g', 'proteinContent': '6 g', 'saturatedFatContent': '2 g', 'sodiumContent': '375 mg', 'sugarContent': '24 g', 'fatContent': '8 g', 'unsaturatedFatContent': '0 g'}",,amish_mennonite,usa,1599.91,47.06,39.72,271.33000000000004
Pumpkin Fluff Dip,https://www.allrecipes.com/recipe/24740/pumpkin-fluff-dip/,https://www.allrecipes.com/thmb/Ba4c50rszwNFa7HrzgH3qSZpp98=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1x1-PASSANO_ALR1122_Kids_5784-1-0e43d7f3b8c84fe4852e33bd94035d86.jpg,"['1 (15 ounce) can solid pack pumpkin', '1 (5 ounce) package instant vanilla pudding mix', '1 teaspoon pumpkin pie spice', '1 (16 ounce) container frozen whipped topping, thawed']",32 servings,"{'calories': '65 kcal', 'carbohydrateContent': '8 g', 'fiberContent': '0 g', 'proteinContent': '0 g', 'saturatedFatContent': '3 g', 'sodiumContent': '99 mg', 'sugarContent': '7 g', 'fatContent': '4 g', 'unsaturatedFatContent': '0 g'}",appetizer,jewish,usa,2031.95,7.53,116.05,249.49
Pumpkin Funnel Cakes,https://www.allrecipes.com/recipe/150328/pumpkin-funnel-cakes/,https://www.allrecipes.com/thmb/Hkz2FJSCxHstquNYhDA-jN_1aQg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2044892-60a31923d14e4b68a87158f2f94b99fe.jpg,"['1 quart oil for frying', '1.5 cups all-purpose flour', '0.25 teaspoon baking powder', '1 teaspoon baking soda', '1 teaspoon cinnamon', '0.25 teaspoon salt', '1 egg', '0.25 cup packed brown sugar', '0.75 cup canned pumpkin puree', '1 cup milk', '0.75 teaspoon pumpkin pie spice', ""0.5 cup confectioners' sugar for dusting""]",4 servings,"{'calories': '542 kcal', 'carbohydrateContent': '72 g', 'cholesterolContent': '51 mg', 'fiberContent': '3 g', 'proteinContent': '9 g', 'saturatedFatContent': '4 g', 'sodiumContent': '649 mg', 'sugarContent': '33 g', 'fatContent': '25 g', 'unsaturatedFatContent': '0 g'}",,state_pa,usa,9258.05,35.95,908.14,272.99
Pumpkin Gingerbread,https://www.allrecipes.com/recipe/23822/pumpkin-gingerbread/,https://www.allrecipes.com/thmb/0P5J366ro5PNFPxdyTAE7SuKX38=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/270708-7d3c96453e5e4c989c0a03b904cd1f89.jpg,"['3 cups sugar', '1 cup vegetable oil', '4 eggs', '0.66666668653488 cup water', '1 (15 ounce) can pumpkin puree', '2 teaspoons ground ginger', '1 teaspoon ground allspice', '1 teaspoon ground cinnamon', '1 teaspoon ground cloves', '3.5 cups all-purpose flour', '2 teaspoons baking soda', '1.5 teaspoons salt', '0.5 teaspoon baking powder']",24 servings,"{'calories': '263 kcal', 'carbohydrateContent': '41 g', 'cholesterolContent': '31 mg', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '2 g', 'sodiumContent': '313 mg', 'sugarContent': '26 g', 'fatContent': '10 g', 'unsaturatedFatContent': '0 g'}",bread,jewish,usa,6302.670000000001,75.66,243.13,977.66
Pumpkin Kaya,https://www.allrecipes.com/recipe/60742/pumpkin-kaya/,https://www.allrecipes.com/thmb/rdi6mAIyUwFktWoJy_hNO91kNjE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/188561-48c212629fa1429fbf0f7eecf608c7ca.jpg,"['4.25 cups cubed fresh pumpkin', '1 cup unsweetened coconut cream', '0.375 cup brown sugar', '8 young pandan leaves']",40 servings,"{'calories': '31 kcal', 'carbohydrateContent': '3 g', 'fiberContent': '0 g', 'proteinContent': '0 g', 'saturatedFatContent': '2 g', 'sodiumContent': '1 mg', 'sugarContent': '2 g', 'fatContent': '2 g', 'unsaturatedFatContent': '0 g'}",,malaysian,asian,1134.1,14.28,66.33,139.97
Pumpkin Mochi,https://www.allrecipes.com/recipe/90253/pumpkin-mochi/,https://www.allrecipes.com/thmb/ElmFgoFlB4mQXQcPDW3rvFCdjYM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2919620-1c4d1f3eb0c546b1a8cdac018f44f7a1.jpg,"['2.5 cups mochiko (glutinous rice flour)', '2 teaspoons baking powder', '2 cups white sugar', '4 eggs', '1 (29 ounce) can pumpkin puree', '1 (14 ounce) can sweetened condensed milk', '1 cup butter, melted', '2 teaspoons vanilla extract']",12 servings,"{'calories': '539 kcal', 'carbohydrateContent': '83 g', 'cholesterolContent': '114 mg', 'fiberContent': '3 g', 'proteinContent': '8 g', 'saturatedFatContent': '12 g', 'sodiumContent': '397 mg', 'sugarContent': '54 g', 'fatContent': '21 g', 'unsaturatedFatContent': '0 g'}",,japanese,asian,6364.36,100.1,254.04,949.71
Pumpkin Pecan Pie I,https://www.allrecipes.com/recipe/12231/pumpkin-pecan-pie-i/,https://www.allrecipes.com/thmb/3ni6QbWfHQi9_QvvnKFfzlLFWSk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2946119-d4fdfab4bb084364919f02664716e1e3.jpg,"['1 egg', '1 cup canned pumpkin', '0.33333298563957 cup white sugar', '1 teaspoon pumpkin pie spice', '2 eggs', '0.66666698455811 cup corn syrup', '0.5 cup white sugar', '3 tablespoons melted butter', '0.5 teaspoon vanilla extract', '1 cup pecan halves', '1 recipe pastry for a 9 inch single crust pie']",8 servings,"{'calories': '437 kcal', 'carbohydrateContent': '55 g', 'cholesterolContent': '81 mg', 'fiberContent': '3 g', 'proteinContent': '5 g', 'saturatedFatContent': '6 g', 'sodiumContent': '248 mg', 'sugarContent': '23 g', 'fatContent': '24 g', 'unsaturatedFatContent': '0 g'}",dessert,southern,usa,3216.37,39.61,154.35,454.18000000000006
Pumpkin Soufflé Casserole,https://www.allrecipes.com/recipe/239216/pumpkin-casserolesouffle/,https://www.allrecipes.com/thmb/XM2m2HwSDOS_dnoRrJujMhSp0FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4549528-99ab29ea454d4aacb7120a75beb11d3f.jpg,"['0.5 cup white sugar', '0.5 cup unsalted butter, softened', '3 large eggs', '1.5 cups pumpkin purée', '1 cup milk', '0.5 cup cake flour', '2 teaspoons baking powder', '1 pinch ground cinnamon, or more to taste']",8 servings,"{'calories': '241 kcal', 'carbohydrateContent': '25 g', 'cholesterolContent': '103 mg', 'fiberContent': '2 g', 'proteinContent': '5 g', 'saturatedFatContent': '8 g', 'sodiumContent': '273 mg', 'fatContent': '14 g', 'unsaturatedFatContent': '0 g'}",side,south_african,african,1915.5,37.52,112.78,198.70000000000002
Pumpkin Sufganiot with Cranberry Jelly,https://www.allrecipes.com/recipe/235467/pumpkin-sufganiot-with-cranberry-jelly/,https://www.allrecipes.com/thmb/hRwrOHvMEQVID2b4WIS0OKl2xIk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1066899-293aa86bf75a4409b6246f6f40dd26a7.jpg,"['0.5 cup unsalted butter', '0.75 cup boiling milk', '1 cup canned pumpkin puree', '0.75 cup white sugar', '2 eggs', '1 egg yolk', '5 cups unbleached all-purpose flour', '1 (.25 ounce) package instant yeast', '1.25 teaspoons salt', '0.5 teaspoon ground ginger', '0.5 teaspoon ground cinnamon', '0.25 teaspoon ground nutmeg', '0.125 teaspoon ground allspice', '1 (14 ounce) can jellied cranberry sauce', '0.33333334326744 cup water', '1 quart vegetable oil for frying', '1 egg white', '1 teaspoon water', '0.5 cup white sugar, or as needed', ""0.25 cup confectioners' sugar, for dusting""]",18 servings,"{'calories': '316 kcal', 'carbohydrateContent': '49 g', 'cholesterolContent': '46 mg', 'fiberContent': '2 g', 'proteinContent': '5 g', 'saturatedFatContent': '4 g', 'sodiumContent': '217 mg', 'sugarContent': '25 g', 'fatContent': '11 g', 'servingSize': '2 1/2 dozen jelly doughnuts', 'unsaturatedFatContent': '0 g'}","bread,dessert",jewish,usa,12783.900000000001,110.24,986.9499999999999,913.5700000000002
Pumpkin Tart With Pecan Crust,https://www.allrecipes.com/recipe/13976/pumpkin-tart-with-pecan-crust/,https://www.allrecipes.com/thmb/pdgCYPWPTs5hPi4r8MxIiQOgSZI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5825224-96d65900dfd34290abdd60bcd911f5c2.jpg,"['0.75 cup pecan halves', '0.75 cup rolled oats', '0.75 cup whole wheat pastry flour', '0.5 teaspoon ground cinnamon', '1 pinch salt', '0.25 cup vegetable oil', '3 tablespoons real maple syrup', '1 cup soy milk', '0.25 cup arrowroot powder', '1 (15 ounce) can pumpkin puree', '0.5 cup real maple syrup', '1 tablespoon grated fresh ginger', '1.5 teaspoons ground cinnamon', '0.5 teaspoon salt', '0.25 teaspoon freshly grated nutmeg', '0.125 teaspoon ground cloves']",8 servings,"{'calories': '313 kcal', 'carbohydrateContent': '42 g', 'fiberContent': '5 g', 'proteinContent': '5 g', 'saturatedFatContent': '2 g', 'sodiumContent': '312 mg', 'sugarContent': '20 g', 'fatContent': '16 g', 'unsaturatedFatContent': '0 g'}",dessert,southern,usa,3492.37,74.69,142.58,506.9099999999999
Pumpkin Waffles with Apple Cider Syrup,https://www.allrecipes.com/recipe/65691/pumpkin-waffles-with-apple-cider-syrup/,https://www.allrecipes.com/thmb/IBennwyqrqVrOQrgfU5fpk__tgI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/65691-Pumpkin-Waffles-With-Apple-Cider-Syrup-3x4-0468-f74d0640f1764522b88388e7138c7702.jpg,"['2.5 cups all-purpose flour', '4 teaspoons baking powder', '2 teaspoons ground cinnamon', '1 teaspoon ground allspice', '1 teaspoon ground ginger', '0.5 teaspoon salt', '0.25 cup packed brown sugar', '1 cup canned pumpkin', '2 cups milk', '4 eggs, separated', '0.25 cup butter, melted', '0.5 cup white sugar', '1 tablespoon cornstarch', '1 teaspoon ground cinnamon', '1 cup apple cider', '1 tablespoon lemon juice', '2 tablespoons butter']",6 servings,"{'calories': '530 kcal', 'carbohydrateContent': '82 g', 'cholesterolContent': '161 mg', 'fiberContent': '4 g', 'proteinContent': '13 g', 'saturatedFatContent': '10 g', 'sodiumContent': '703 mg', 'sugarContent': '36 g', 'fatContent': '17 g', 'unsaturatedFatContent': '0 g'}",,southern,usa,3108.8199999999997,77.89999999999999,102.15,478.17
Pumpkin Zeppole,https://www.allrecipes.com/recipe/245270/pumpkin-zeppole/,https://www.allrecipes.com/thmb/A6UgXVdV_xhWdjMbnf9lXc13JX0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2716837-f1107cb89f5544bab32bfd58be008f58.jpg,"['1.5 cups all-purpose flour', '1.5 teaspoons baking powder', '0.5 teaspoon fine salt', '0.5 teaspoon ground cinnamon', '0.125 teaspoon freshly grated nutmeg', '8 ounces fresh ricotta cheese, well drained', '0.5 cup pumpkin puree', '2 tablespoons pumpkin puree', '0.25 cup white sugar', '2 large eggs', '1 teaspoon vanilla extract', 'Canola oil, for frying']",8 servings,"{'calories': '272 kcal', 'carbohydrateContent': '27 g', 'cholesterolContent': '55 mg', 'fiberContent': '1 g', 'proteinContent': '7 g', 'saturatedFatContent': '3 g', 'sodiumContent': '327 mg', 'sugarContent': '7 g', 'fatContent': '15 g', 'unsaturatedFatContent': '0 g'}",bread,italian,european,1528.45,59.52,43.84,221.47000000000003
Punjabi Chicken in Thick Gravy,https://www.allrecipes.com/recipe/150340/punjabi-chicken-in-thick-gravy/,https://www.allrecipes.com/thmb/ylzvYr9q761Z-UNglS8dB5e1Pmw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1092766-punjabi-chicken-in-thick-gravy-Noah-King-4x3-1-2be43be8881d462687ba0248357ad8bb.jpg,"['2 tablespoons vegetable oil', '2 tablespoons ghee (clarified butter)', '1 teaspoon cumin seeds', '1 onion, finely chopped', '5 cloves garlic, minced', '2 tablespoons minced fresh ginger root', '1 cup water', '1 small tomato, coarsely chopped', '1 serrano chile pepper, seeded and minced', '1 tablespoon tomato paste', '1 tablespoon garam masala', '1 tablespoon ground turmeric', '1 teaspoon salt, or to taste', '8 chicken legs, skin removed', '0.25 cup chopped fresh cilantro']",8 servings,"{'calories': '325 kcal', 'carbohydrateContent': '4 g', 'cholesterolContent': '102 mg', 'fiberContent': '1 g', 'proteinContent': '28 g', 'saturatedFatContent': '7 g', 'sodiumContent': '395 mg', 'sugarContent': '1 g', 'fatContent': '22 g', 'unsaturatedFatContent': '0 g'}",main,indian,asian,4542.5,502.41,253.33000000000004,35.709999999999994
Purim Hamantaschen with Prune Filling,https://www.allrecipes.com/recipe/245625/purim-hamantaschen-with-prune-filling/,https://www.allrecipes.com/thmb/kSmIRsoahilYaKlMA4SGMDwkXPw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4580644-1829b1f682f440e0ad882c76cd65bf10.jpg,"['0.25 cup honey', '2 tablespoons lemon juice', '20 pitted prunes', 'water to cover', '2.5 cups all-purpose flour', '2.5 teaspoons baking powder', '0.5 teaspoon salt', '1.25 cups white sugar', '0.5 cup butter, softened', '0.5 cup shortening', '3 eggs', '0.25 cup orange juice', '1.5 teaspoons vanilla extract']",50 servings,"{'calories': '95 kcal', 'carbohydrateContent': '14 g', 'cholesterolContent': '16 mg', 'fiberContent': '0 g', 'proteinContent': '1 g', 'saturatedFatContent': '2 g', 'sodiumContent': '65 mg', 'sugarContent': '8 g', 'fatContent': '4 g', 'unsaturatedFatContent': '0 g'}",,jewish,usa,4827.119999999999,57.04,212.75000000000003,692.9200000000001
Purple Fiddle Hummus,https://www.allrecipes.com/recipe/242394/purple-fiddle-hummus/,https://www.allrecipes.com/thmb/Tgnxy88GJV7ENOaTx081UfABJVo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2283853-81b5b70743c14b289a98f1a79cc2a145.jpg,"['1 (15 ounce) can garbanzo beans, drained and 1/4 cup liquid reserved', '0.5 cup chopped fresh cilantro', '0.5 cup chopped onion', '2 cloves garlic, finely chopped', '1 teaspoon ground cumin', '0.5 teaspoon cayenne pepper', '0.25 teaspoon sea salt', '1 teaspoon extra-virgin olive oil, or to taste', '1 teaspoon lemon juice']",4 servings,"{'calories': '108 kcal', 'carbohydrateContent': '19 g', 'fiberContent': '4 g', 'proteinContent': '4 g', 'saturatedFatContent': '0 g', 'sodiumContent': '324 mg', 'sugarContent': '1 g', 'fatContent': '2 g', 'unsaturatedFatContent': '0 g'}",,state_wv,usa,702.5500000000001,32.56,17.169999999999998,111.19000000000001
